signal_id,source_type,category,text,timestamp,incident_group
INC-0007-S0,log,Authentication Failure,WARN ldap-connector Authentication bind failed for user pool — retrying,2024-01-01 08:23:19.059069,INC-0007
INC-0007-S2,ticket,Authentication Failure,Cannot access internal portal — getting 401 Unauthorized since this morning,2024-01-01 08:35:01.752175,INC-0007
INC-0007-S1,alert,Authentication Failure,ALERT: auth_error_rate exceeded threshold — current value 2% up from baseline 97%,2024-01-01 08:37:52.588287,INC-0007
INC-0021-S0,log,Deployment Failure,WARN rollout-controller Deployment 95 exceeded progress deadline 20m,2024-01-02 03:45:29.790130,INC-0021
INC-0021-S1,ticket,Deployment Failure,Config change pushed at 18:12 caused database connection failures,2024-01-02 03:50:25.833466,INC-0021
INC-0021-S2,alert,Deployment Failure,CRITICAL: deployment pipeline 98 failed at stage 36 — rollback triggered,2024-01-02 03:56:13.050221,INC-0021
INC-0031-S1,alert,Performance Degradation,ALERT: cpu_utilization at 41% on 90 nodes — autoscaling triggered. Additionally: All microservices returning 503 — suspected network partition in cluster,2024-01-02 13:32:57.480736,INC-0031
INC-0031-S2,log,Performance Degradation,ERROR jvm-monitor GC overhead limit exceeded — heap usage 31%,2024-01-02 13:49:16.243715,INC-0031
INC-0031-S0,ticket,Performance Degradation,Memory leak suspected — application slowing down every 5 minutes,2024-01-02 13:53:50.314166,INC-0031
INC-0041-S0,alert,Security Breach,WARNING: 9 API calls from unrecognised IP range in last 30 minutes,2024-01-03 03:18:41.422420,INC-0041
INC-0041-S1,ticket,Security Breach,Unexpected admin account created at 04:04 — security team please investigate. Additionally: WARN rollout-controller Deployment 99 exceeded progress deadline 15m,2024-01-03 03:25:56.668491,INC-0041
INC-0041-S2,log,Security Breach,CRITICAL ids-system Port scan detected from external IP 94 at 22:25,2024-01-03 03:27:28.646584,INC-0041
INC-0038-S0,alert,Performance Degradation,CRITICAL: database_query_time_avg 21ms — 92x slower than baseline. Additionally: Cannot reach external services since 01:35 — complete outage for team,2024-01-04 00:30:01.877138,INC-0038
INC-0038-S1,ticket,Performance Degradation,API response times unacceptable — 42ms average reported by users since 15:06,2024-01-04 00:37:04.768500,INC-0038
INC-0038-S2,log,Performance Degradation,CRITICAL thread-pool 32 threads blocked — deadlock suspected at 14:21. Additionally: SSO login broken for 9 users — IT please investigate urgently,2024-01-04 00:43:16.845639,INC-0038
INC-0015-S0,log,Network Outage,ERROR dns-resolver NXDOMAIN for internal service mesh — 5 retries failed. Additionally: ALERT: token_validation_failures spiked to 34 per minute — normal is 93,2024-01-04 22:20:34.307896,INC-0015
INC-0015-S1,ticket,Network Outage,API calls to external partners timing out — network issue suspected since 02:56,2024-01-04 22:21:03.988361,INC-0015
INC-0015-S2,alert,Network Outage,WARNING: BGP session dropped with peer 98 — rerouting traffic,2024-01-04 22:29:14.023923,INC-0015
INC-0028-S2,log,Deployment Failure,ERROR kubernetes PodInitializing timeout after 30m — CrashLoopBackOff,2024-01-05 03:37:54.411575,INC-0028
INC-0028-S0,alert,Deployment Failure,CRITICAL: kubernetes rollout failed — 15 pods in CrashLoopBackOff. Additionally: Possible data exfiltration — large upload to external endpoint at 14:26,2024-01-05 03:39:18.966016,INC-0028
INC-0028-S1,ticket,Deployment Failure,Config change pushed at 12:57 caused database connection failures,2024-01-05 04:01:24.660500,INC-0028
INC-0034-S2,log,Performance Degradation,ERROR memory-manager OutOfMemoryError: Java heap space after 20 minutes,2024-01-05 14:21:34.518206,INC-0034
INC-0034-S1,ticket,Performance Degradation,Application extremely slow since 14:15 — pages taking 19 seconds to load,2024-01-05 14:23:27.832918,INC-0034
INC-0034-S0,alert,Performance Degradation,WARNING: memory_usage 39% — approaching OOM threshold on 96 pods,2024-01-05 14:30:30.628191,INC-0034
INC-0049-S2,alert,Security Breach,WARNING: 36 API calls from unrecognised IP range in last 5 minutes,2024-01-05 15:14:16.434421,INC-0049
INC-0049-S1,log,Security Breach,WARN data-monitor Anomalous export: 36MB from sensitive table in 20m,2024-01-05 15:24:04.477825,INC-0049
INC-0049-S0,ticket,Security Breach,Possible data exfiltration — large upload to external endpoint at 22:25,2024-01-05 15:29:41.926995,INC-0049
INC-0032-S1,alert,Performance Degradation,ALERT: throughput dropped from 96 to 27 requests/sec — capacity issue,2024-01-06 00:53:26.954275,INC-0032
INC-0032-S2,ticket,Performance Degradation,System unusable during peak hours — 42 second response times,2024-01-06 01:05:55.249113,INC-0032
