signal_id,source_type,category,text,timestamp,incident_group,hour,day_of_week,is_business_hours,source_weight,normalised_text,preprocessed_text
INC-0007-S0,log,Authentication Failure,WARN ldap-connector Authentication bind failed for user pool — retrying,2024-01-01 08:23:19.059069,INC-0007,8,0,True,0.6,ldap-connector authentication bind failed for user pool retrying,ldap-connector authentication bind failed user pool retrying
INC-0007-S2,ticket,Authentication Failure,Cannot access internal portal — getting 401 Unauthorized since this morning,2024-01-01 08:35:01.752175,INC-0007,8,0,True,0.8,cannot access internal portal getting NUMVAL unauthorized since this morning,not access internal portal getting NUMVAL unauthorized since morning
INC-0007-S1,alert,Authentication Failure,ALERT: auth_error_rate exceeded threshold — current value 2% up from baseline 97%,2024-01-01 08:37:52.588287,INC-0007,8,0,True,1.0,auth_error_rate exceeded threshold current value PCTVAL up from baseline PCTVAL,auth_error_rate exceeded threshold current value PCTVAL up baseline PCTVAL
INC-0021-S0,log,Deployment Failure,WARN rollout-controller Deployment 95 exceeded progress deadline 20m,2024-01-02 03:45:29.790130,INC-0021,3,1,False,0.6,rollout-controller deployment 95 exceeded progress deadline 20m,rollout-controller deployment 95 exceeded progress deadline 20m
INC-0021-S1,ticket,Deployment Failure,Config change pushed at 18:12 caused database connection failures,2024-01-02 03:50:25.833466,INC-0021,3,1,False,0.8,config change pushed at TIMEVAL caused database connection failures,config change pushed TIMEVAL caused database connection failure
INC-0021-S2,alert,Deployment Failure,CRITICAL: deployment pipeline 98 failed at stage 36 — rollback triggered,2024-01-02 03:56:13.050221,INC-0021,3,1,False,1.0,deployment pipeline 98 failed at stage 36 rollback triggered,deployment pipeline 98 failed stage 36 rollback triggered
INC-0031-S1,alert,Performance Degradation,ALERT: cpu_utilization at 41% on 90 nodes — autoscaling triggered. Additionally: All microservices returning 503 — suspected network partition in cluster,2024-01-02 13:32:57.480736,INC-0031,13,1,True,1.0,cpu_utilization at PCTVAL on 90 nodes autoscaling triggered additionally all microservices returning NUMVAL suspected network partition in cluster,cpu_utilization PCTVAL 90 node autoscaling triggered additionally microservices returning NUMVAL suspected network partition cluster
INC-0031-S2,log,Performance Degradation,ERROR jvm-monitor GC overhead limit exceeded — heap usage 31%,2024-01-02 13:49:16.243715,INC-0031,13,1,True,0.6,jvm-monitor gc overhead limit exceeded heap usage PCTVAL,jvm-monitor gc overhead limit exceeded heap usage PCTVAL
INC-0031-S0,ticket,Performance Degradation,Memory leak suspected — application slowing down every 5 minutes,2024-01-02 13:53:50.314166,INC-0031,13,1,True,0.8,memory leak suspected application slowing down every 5 minutes,memory leak suspected application slowing down every minute
INC-0041-S0,alert,Security Breach,WARNING: 9 API calls from unrecognised IP range in last 30 minutes,2024-01-03 03:18:41.422420,INC-0041,3,2,False,1.0,9 api calls from unrecognised ip range in last 30 minutes,api call unrecognised ip range last 30 minute
INC-0041-S1,ticket,Security Breach,Unexpected admin account created at 04:04 — security team please investigate. Additionally: WARN rollout-controller Deployment 99 exceeded progress deadline 15m,2024-01-03 03:25:56.668491,INC-0041,3,2,False,0.8,unexpected admin account created at TIMEVAL security team please investigate additionally warn rollout-controller deployment 99 exceeded progress deadline 15m,unexpected admin account created TIMEVAL security team please investigate additionally warn rollout-controller deployment 99 exceeded progress deadline 15m
INC-0041-S2,log,Security Breach,CRITICAL ids-system Port scan detected from external IP 94 at 22:25,2024-01-03 03:27:28.646584,INC-0041,3,2,False,0.6,ids-system port scan detected from external ip 94 at TIMEVAL,ids-system port scan detected external ip 94 TIMEVAL
INC-0038-S0,alert,Performance Degradation,CRITICAL: database_query_time_avg 21ms — 92x slower than baseline. Additionally: Cannot reach external services since 01:35 — complete outage for team,2024-01-04 00:30:01.877138,INC-0038,0,3,False,1.0,database_query_time_avg 21ms 92x slower than baseline additionally cannot reach external services since TIMEVAL complete outage for team,database_query_time_avg 21ms 92x slower baseline additionally not reach external service since TIMEVAL complete outage team
INC-0038-S1,ticket,Performance Degradation,API response times unacceptable — 42ms average reported by users since 15:06,2024-01-04 00:37:04.768500,INC-0038,0,3,False,0.8,api response times unacceptable 42ms average reported by users since TIMEVAL,api response time unacceptable 42ms average reported user since TIMEVAL
INC-0038-S2,log,Performance Degradation,CRITICAL thread-pool 32 threads blocked — deadlock suspected at 14:21. Additionally: SSO login broken for 9 users — IT please investigate urgently,2024-01-04 00:43:16.845639,INC-0038,0,3,False,0.6,thread-pool 32 threads blocked deadlock suspected at TIMEVAL additionally sso login broken for 9 users it please investigate urgently,thread-pool 32 thread blocked deadlock suspected TIMEVAL additionally sso login broken user please investigate urgently
INC-0015-S0,log,Network Outage,ERROR dns-resolver NXDOMAIN for internal service mesh — 5 retries failed. Additionally: ALERT: token_validation_failures spiked to 34 per minute — normal is 93,2024-01-04 22:20:34.307896,INC-0015,22,3,False,0.6,dns-resolver nxdomain for internal service mesh 5 retries failed additionally alert token_validation_failures spiked to 34 per minute normal is 93,dns-resolver nxdomain internal service mesh retries failed additionally alert token_validation_failures spiked 34 per minute normal 93
INC-0015-S1,ticket,Network Outage,API calls to external partners timing out — network issue suspected since 02:56,2024-01-04 22:21:03.988361,INC-0015,22,3,False,0.8,api calls to external partners timing out network issue suspected since TIMEVAL,api call external partner timing network issue suspected since TIMEVAL
